,id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta,genero,minutos,horas,dia,mes
2789803,23816774,1034,2024-11-11 00:47:31,183,183 - VIRREY CEVALLOS,Mexico 1652,-58.3899728,-34.6156994,2024-11-11 01:04:45,92,092 - Salcedo,2908 Salcedo & Dean Funes,-58.4053386,-34.6316444,1188582.0,ICONIC,FEMALE,47,11,0,11
2347985,23816775,361,2024-11-11 00:48:40,273,223 - GAINZA,"494 Gainza, Martin De, Gral.",-58.446751,-34.616758,2024-11-11 00:54:41,432,187 - Jose Maria Moreno,141 Jose Maria Moreno,-58.435801,-34.619879,686137.0,FIT,FEMALE,48,11,0,11
2211507,23816776,1069,2024-11-11 00:52:35,183,183 - VIRREY CEVALLOS,Mexico 1652,-58.3899728,-34.6156994,2024-11-11 01:10:24,6,006 - Parque Lezama,"Avenida Martin Garcia, 295",-58.369758,-34.628526,9177.0,FIT,MALE,52,11,0,11
2056975,23816777,269,2024-11-11 01:00:08,199,199 - ESTADOS UNIDOS Y BOEDO,3568 Estados Unidos & Boedo Av.,-58.41601370000001,-34.6222601,2024-11-11 01:04:37,223,178 - José Marmol,803 José Marmol,-58.424853,-34.6234,1230815.0,ICONIC,MALE,0,11,1,11
2396986,23816778,1168,2024-11-11 01:00:58,126,126 - Ministerio de Justicia y Seguridad,Olavarría 1201,-58.36958898591382,-34.63922546953217,2024-11-11 01:20:26,172,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,1181056.0,ICONIC,MALE,0,11,1,11
2211520,23816779,1973,2024-11-11 01:01:45,436,253 - Plaza Colegiales,Tte. Benjamin Matienzo 2886,-58.44348999999999,-34.57653,2024-11-11 01:34:38,91,091 - Pasco,708 Pasco & Chile,-58.397602,-34.6174482,1030986.0,FIT,FEMALE,1,11,1,11
2065311,23816780,1273,2024-11-11 01:01:54,128,128 - PARQUE DEL BAJO,Tte. Gral. Juan Domingo Perón 133,-58.36882117,-34.60515159,2024-11-11 01:23:07,126,126 - Ministerio de Justicia y Seguridad,Olavarría 1201,-58.36958898591382,-34.63922546953217,722515.0,ICONIC,MALE,1,11,1,11
2854725,23816781,1238,2024-11-11 01:03:31,261,272 - Plaza Bruno Giordano,Bruno Giordano&Neuquen,-58.440584,-34.616151,2024-11-11 01:24:09,161,161 - Humahuaca,3912 Humahuaca,-58.4196761,-34.6020779,63669.0,ICONIC,MALE,3,11,1,11
2347897,23816782,867,2024-11-11 01:04:17,122,122 - COSTA RICA,COSTA RICA 4060,-58.41981629999999,-34.5915614,2024-11-11 01:18:44,122,122 - COSTA RICA,COSTA RICA 4060,-58.41981629999999,-34.5915614,1067934.0,FIT,MALE,4,11,1,11
2768102,23816783,860,2024-11-11 01:07:41,507,271 - VILLA SOLDATI II,23 de junio 4249,-58.45531939999999,-34.673248,2024-11-11 01:22:01,327,366 - VILLA OLÍMPICA,Escalada 4347,-58.454286054001386,-34.677130515662185,1241278.0,FIT,FEMALE,7,11,1,11
2161940,23816784,2,2024-11-11 01:08:32,184,184 - Pedro Echague,Pedro Echague 1878 & Combate De Los Pozos,-58.3913419,-34.6306129,2024-11-11 01:08:34,562,246 - ALMAFUERTE,Av. Almafuerte 857,-58.415984666270425,-34.647805760451966,1223802.0,ICONIC,MALE,8,11,1,11
2057102,23816785,1406,2024-11-11 01:08:43,425,394 - Av. La Plata,Av. La Plata 2400,-58.42284285277861,-34.643012510740405,2024-11-11 01:32:09,425,394 - Av. La Plata,Av. La Plata 2400,-58.42284285277861,-34.643012510740405,1233800.0,FIT,FEMALE,8,11,1,11
2768009,23816786,1355,2024-11-11 01:09:33,425,394 - Av. La Plata,Av. La Plata 2400,-58.42284285277861,-34.643012510740405,2024-11-11 01:32:08,425,394 - Av. La Plata,Av. La Plata 2400,-58.42284285277861,-34.643012510740405,1233965.0,ICONIC,MALE,9,11,1,11
2396968,23816787,567,2024-11-11 01:09:53,79,079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",-58.36393000000001,-34.61189,2024-11-11 01:19:20,46,046 - Chile,Perú 718,-58.37436969999998,-34.6163729,1207836.0,ICONIC,MALE,9,11,1,11
2347891,23816788,880,2024-11-11 01:10:52,56,056 - Plaza Palermo Viejo,Costa Rica & Armenia,-58.42599899999999,-34.588567,2024-11-11 01:25:32,131,131- HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",-58.39901580000001,-34.5984043,1012651.0,FIT,MALE,10,11,1,11
2347952,23816790,530,2024-11-11 01:12:49,525,317 - ESCUELA RAGGIO,Av. Libertador 8620 (y Pico),-58.4668133,-34.536691,2024-11-11 01:21:39,500,235 - COMUNA 13,Ibera 2377,-58.464224299999984,-34.5532117,1235299.0,ICONIC,MALE,12,11,1,11
2393929,23816791,1775,2024-11-11 01:13:08,277,292 - PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,-58.436115,-34.563539,2024-11-11 01:42:43,216,059 - Coronel Diaz,Guemes 3330 & Coronel Diaz,-58.411493,-34.589968,1058454.0,FIT,MALE,13,11,1,11
